quote,author
Debugging is like chasing a greased pig around a dark room.,Brian Kernighan
"If you're not failing, you're not innovating enough.",Elon Musk
A good programmer is one who always learns from their mistakes. A great programmer is one who learns from other people's mistakes.,Unknown
The only way to write a bug-free program is to write a program that does nothing.,Unknown
The difference between a programmer and a non-programmer is that a programmer can solve a problem that a non-programmer doesn't even know they have.,Unknown
Programmers are like ninjas. They sit in the dark and type code that you don't understand.,Unknown
I'm not a genius. I'm just curious.,Albert Einstein
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein
The only way to do great work is to love what you do.,Steve Jobs
"If you're not embarrassed by the first version of your product, you've launched too late.",Reid Hoffman
The best way to predict the future is to create it.,Peter Drucker
The only way to learn is by doing.,Dale Carnegie
Programming is like sex. One mistake and you have to support it for the rest of your life.,Michael Sinz
The best way to get accurate information on Usenet is to post something wrong and wait for corrections.,Linus Torvalds
Computers are like air conditioners; they only work when you open the windows.,Unknown
There are two ways to write error-free programs; only the third one works.,Alan J. Perlis
The best method for accelerating a computer is the one that boosts it by 9.8 m/s^2.,Unknown
I think Microsoft named .Net so it wouldn't show up in a Unix directory listing.,Oktal
"If builders built buildings the way programmers wrote programs, then the first woodpecker that came along would destroy civilization.",Gerald Weinberg
The best way to get into heaven is to die while working on a Linux system. That guarantee's you a lifetime of debugging.,Linus Torvalds
"There are two kinds of programmers: those who know they don't know anything, and those who don't know they don't know anything.",Unknown
The best way to learn about a programming language is to write a program in it.,Larry Wall
The only way to write bug-free code is to write code that does nothing.,Unknown
The only way to test software is to run it. The only way to prove that software works is to use it. The only way to know that software is good is to have people love it.,Donald Knuth
Debugging is the process of removing software bugs. Software bugs are just undocumented features.,Unknown
A programmer is a machine that turns coffee into code.,Unknown
"Code is like humor. When you have to explain it, it's not funny.",Unknown
The best way to fix a bug is to remove it.,Unknown
The only thing worse than a bug in your code is a bug that disappears when you try to debug it.,Unknown
The only good code is the code that works.,Unknown
The only difference between a programmer and a non-programmer is that a programmer can solve a problem that a non-programmer doesn't even know they have.,Unknown
Programmers are like ninjas. They sit in the dark and type code that you don't understand.,Unknown
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein
The only way to do great work is to love what you do.,Steve Jobs
"If you're not embarrassed by the first version of your product, you've launched too late.",Reid Hoffman
The best way to predict the future is to create it.,Peter Drucker
The only way to learn is by doing.,Dale Carnegie
Debugging is like chasing a greased pig around a dark room.,Brian Kernighan
A good programmer is one who always learns from their mistakes. A great programmer is one who learns from other people's mistakes.,Unknown
The only way to write a bug-free program is to write a program that does nothing.,Unknown
The difference between a programmer and a non-programmer is that a programmer can solve a problem that a non-programmer doesn't even know they have.,Unknown
Programmers are like ninjas. They sit in the dark and type code that you don't understand.,Unknown
I'm not a genius. I'm just curious.,Albert Einstein
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein
The only way to do great work is to love what you do.,Steve Jobs
"If you're not embarrassed by the first version of your product, you've launched too late.",Reid Hoffman
The best way to predict the future is to create it.,Peter Drucker
The only way to learn is by doing.,Dale Carnegie
Programming is like sex. One mistake and you have to support it for the rest of your life.,Michael Sinz
The best way to get accurate information on Usenet is to post something wrong and wait for corrections.,Linus Torvalds
Computers are like air conditioners; they only work when you open the windows.,Unknown
There are two ways to write error-free programs; only the third one works.,Alan J. Perlis
The best method for accelerating a computer is the one that boosts it by 9.8 m/s^2.,Unknown
I think Microsoft named .Net so it wouldn't show up in a Unix directory listing.,Oktal
"If builders built buildings the way programmers wrote programs, then the first woodpecker that came along would destroy civilization.",Gerald Weinberg
The best way to get into heaven is to die while working on a Linux system. That guarantee's you a lifetime of debugging.,Linus Torvalds
"There are two kinds of programmers: those who know they don't know anything, and those who don't know they don't know anything.",Unknown
The best way to learn about a programming language is to write a program in it.,Larry Wall
The only way to write bug-free code is to write code that does nothing.,Unknown
The only way to test software is to run it. The only way to prove that software works is to use it. The only way to know that software is good is to have people love it.,Donald Knuth
Debugging is the process of removing software bugs. Software bugs are just undocumented features.,Unknown
A programmer is a machine that turns coffee into code.,Unknown
"Code is like humor. When you have to explain it, it's not funny.",Unknown
The best way to fix a bug is to remove it.,Unknown
The only thing worse than a bug in your code is a bug that disappears when you try to debug it.,Unknown
The only good code is the code that works.,Unknown
The only difference between a programmer and a non-programmer is that a programmer can solve a problem that a non-programmer doesn't even know they have.,Unknown
Programmers are like ninjas. They sit in the dark and type code that you don't understand.,Unknown
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein
The only way to do great work is to love what you do.,Steve Jobs
"If you're not embarrassed by the first version of your product, you've launched too late.",Reid Hoffman
The best way to predict the future is to create it.,Peter Drucker
The only way to learn is by doing.,Dale Carnegie
"Programming is like building a house of cards: if you move one card, the whole thing falls down.",Unknown
